rank,id,name,demand,gap,ease,spread,score,status,source_cluster
1,01,Excel構造差分・数式リスク監査,5,5,4,5,96.0,候補,S004|S007|S016
2,02,ローカル表データ照合・移行検証CLI,5,5,4,5,96.0,候補,S002|S015
3,03,ゼロ設定ファイル・データ契約CLI,5,3,4,5,86.0,候補,S001|S016
4,04,PDFアクセシビリティ・トリアージと監査証跡,4,4,4,4,80.0,候補,S003
5,05,個人金融ファイル取込・照合アダプタ,4,4,4,4,80.0,候補,S013
6,06,PDF表抽出の監査・レシピ化CLI,4,4,3,4,76.0,候補,S011
7,07,データエクスポートの来歴・スキーマ証跡生成,4,4,3,4,76.0,候補,S002|S015
8,09,GitHub Actionsテスト結果の静的履歴ダッシュボード,4,3,4,4,75.0,候補,S014
9,10,共有前ログ匿名化・最小再現バンドルCLI,4,3,4,4,75.0,候補,S005
10,08,字幕ファイルQA as code,3,4,4,4,73.0,候補,S009
11,11,Excel対応・テンプレート版管理CSV取込SDK,5,2,3,4,73.0,要差別化,S008
12,17,CSV数式インジェクション検査・安全化,3,3,5,4,72.0,ニッチ候補,S008
13,22,OpenAPI互換性・破壊変更ゲート,5,1,4,4,72.0,NO候補,S014
14,14,Jupyter再現性ゲート,4,3,3,4,71.0,要差別化,S010
15,16,スプレッドシート入力・数式の不変条件テスト,4,3,3,4,71.0,要差別化,S004|S007
16,21,.env設定スキーマ・環境差分ゲート,4,2,4,4,70.0,要差別化,S005
17,24,生成物・Issue添付物向け秘密情報スキャナ,3,3,4,4,68.0,ニッチ候補,S005
18,12,コードと文書の決定的リンク・ドリフト検査,4,2,3,4,66.0,要差別化,S014
19,19,i18nカタログ静的解析CLI,4,1,4,4,65.0,NO,S006|S016
20,18,PDF/HTMLの視覚回帰テスト,5,1,3,3,64.0,NO候補,S014
21,13,壊れたリンクのアーカイブ候補・置換PR生成,3,2,4,4,63.0,要差別化,S016
22,15,研究データ公開パッケージ検証,3,3,3,3,60.0,要差別化,S011
23,20,撤回論文・引用リスト検査,3,1,4,3,54.0,NO,S012
24,23,ソフトウェア供給網の来歴証跡パック,4,1,2,3,53.0,NO候補,S014
